text,label,source
with outstanding performances from the entire cast. An incredible film,1,synthetic
and the characters were entirely unconvincing. The script was awful,0,synthetic
money on this disappointing and poorly made film. Do not waste your,0,synthetic
on the edge. The cinematography is stunning and the plot keeps you,1,synthetic
plot keeps you on the edge. The cinematography is stunning and the,1,synthetic
stay with you forever. A heartwarming and deeply moving story that will,1,synthetic
"powerful, emotional, and beautiful. This is exactly what cinema should be:",1,synthetic
"I cried, and I left the theatre feeling completely satisfied. I laughed,",1,synthetic
"to finish, truly a masterpiece. I was completely captivated from start",1,synthetic
fantastic and I loved every minute of it. This movie was absolutely,1,synthetic
"have ever seen, highly recommend to everyone. One of the best films I",1,synthetic
"left the theatre feeling completely satisfied. I laughed, I cried, and I",1,synthetic
the plot keeps you on the edge. The cinematography is stunning and,1,synthetic
"I have ever seen, highly recommend to everyone. One of the best films",1,synthetic
no sense and the acting was painfully bad throughout. The plot made,0,synthetic
and poorly made film. Do not waste your money on this disappointing,0,synthetic
"start to finish, truly a masterpiece. I was completely captivated from",1,synthetic
painfully bad throughout. The plot made no sense and the acting was,0,synthetic
"best films I have ever seen, highly recommend to everyone. One of the",1,synthetic
"best films I have ever seen, highly recommend to everyone. One of the",1,synthetic
that will stay with you forever. A heartwarming and deeply moving story,1,synthetic
best avoided at all costs. This film has no redeeming qualities and is,0,synthetic
make this a must-watch film. Exceptional screenplay and superb acting,1,synthetic
story to life beautifully. The director did a brilliant job bringing this,1,synthetic
"predictable mess that fails on every conceivable level. A tedious,",0,synthetic
performances from the entire cast. An incredible film with outstanding,1,synthetic
were entirely unconvincing. The script was awful and the characters,0,synthetic
"finish, truly a masterpiece. I was completely captivated from start to",1,synthetic
"this year, a total disaster from start. The worst movie I have seen",0,synthetic
moving story that will stay with you forever. A heartwarming and deeply,1,synthetic
a brilliant job bringing this story to life beautifully. The director did,1,synthetic
"to finish, truly a masterpiece. I was completely captivated from start",1,synthetic
asleep halfway through because it was so incredibly boring. I fell,0,synthetic
and the characters were entirely unconvincing. The script was awful,0,synthetic
and the plot keeps you on the edge. The cinematography is stunning,1,synthetic
"any creativity whatsoever. Dull, lifeless, and completely devoid of",0,synthetic
"completely devoid of any creativity whatsoever. Dull, lifeless, and",0,synthetic
"completely devoid of any creativity whatsoever. Dull, lifeless, and",0,synthetic
awful and the characters were entirely unconvincing. The script was,0,synthetic
"what cinema should be: powerful, emotional, and beautiful. This is exactly",1,synthetic
is best avoided at all costs. This film has no redeeming qualities and,0,synthetic
painfully bad throughout. The plot made no sense and the acting was,0,synthetic
"should be: powerful, emotional, and beautiful. This is exactly what cinema",1,synthetic
and the plot keeps you on the edge. The cinematography is stunning,1,synthetic
"I cried, and I left the theatre feeling completely satisfied. I laughed,",1,synthetic
characters were entirely unconvincing. The script was awful and the,0,synthetic
your money on this disappointing and poorly made film. Do not waste,0,synthetic
"of any creativity whatsoever. Dull, lifeless, and completely devoid",0,synthetic
painfully bad throughout. The plot made no sense and the acting was,0,synthetic
no redeeming qualities and is best avoided at all costs. This film has,0,synthetic
"devoid of any creativity whatsoever. Dull, lifeless, and completely",0,synthetic
"minutes, it was that bad. I wanted to walk out after the first ten",0,synthetic
the entire cast. An incredible film with outstanding performances from,1,synthetic
